TargetT: 10 ; AvgBoxT: 22.31 ; Time: 2023-01-18 19:39:48.267802 ; Volts: 35 ; Polarity: 1 ; Cooling: 1 ; CycleNo: 1 ; MinsDiff: 0.0 ; MinEnd: 45
TargetT: 10 ; AvgBoxT: 22.35 ; Time: 2023-01-18 19:39:48.267802 ; Volts: 35 ; Polarity: 1 ; Cooling: 1 ; CycleNo: 1 ; MinsDiff: 0.0 ; MinEnd: 45
TargetT: 10 ; AvgBoxT: 22.32 ; Time: 2023-01-18 19:40:10.636029 ; Volts: 35 ; Polarity: 1 ; Cooling: 1 ; CycleNo: 1 ; MinsDiff: 1.0 ; MinEnd: 45
TargetT: 10 ; AvgBoxT: 22.07 ; Time: 2023-01-18 19:40:10.636029 ; Volts: 35 ; Polarity: 1 ; Cooling: 1 ; CycleNo: 1 ; MinsDiff: 1.0 ; MinEnd: 45
TargetT: 10 ; AvgBoxT: 22.0 ; Time: 2023-01-18 19:40:33.009111 ; Volts: 35 ; Polarity: 1 ; Cooling: 1 ; CycleNo: 1 ; MinsDiff: 1.0 ; MinEnd: 45
TargetT: 10 ; AvgBoxT: 21.77 ; Time: 2023-01-18 19:40:33.009111 ; Volts: 35 ; Polarity: 1 ; Cooling: 1 ; CycleNo: 1 ; MinsDiff: 1.0 ; MinEnd: 45
TargetT: 10 ; AvgBoxT: 21.77 ; Time: 2023-01-18 19:40:55.383071 ; Volts: 35 ; Polarity: 1 ; Cooling: 1 ; CycleNo: 1 ; MinsDiff: 1.0 ; MinEnd: 45
TargetT: 10 ; AvgBoxT: 21.54 ; Time: 2023-01-18 19:40:55.383071 ; Volts: 35 ; Polarity: 1 ; Cooling: 1 ; CycleNo: 1 ; MinsDiff: 1.0 ; MinEnd: 45
TargetT: 10 ; AvgBoxT: 21.62 ; Time: 2023-01-18 19:41:17.778651 ; Volts: 35 ; Polarity: 1 ; Cooling: 1 ; CycleNo: 1 ; MinsDiff: 2.0 ; MinEnd: 45
TargetT: 10 ; AvgBoxT: 21.61 ; Time: 2023-01-18 19:41:17.778651 ; Volts: 35 ; Polarity: 1 ; Cooling: 1 ; CycleNo: 1 ; MinsDiff: 2.0 ; MinEnd: 45
TargetT: 10 ; AvgBoxT: 21.76 ; Time: 2023-01-18 19:41:40.167070 ; Volts: 35 ; Polarity: 1 ; Cooling: 1 ; CycleNo: 1 ; MinsDiff: 2.0 ; MinEnd: 45
TargetT: 10 ; AvgBoxT: 21.74 ; Time: 2023-01-18 19:41:40.167070 ; Volts: 35 ; Polarity: 1 ; Cooling: 1 ; CycleNo: 1 ; MinsDiff: 2.0 ; MinEnd: 45
TargetT: 10 ; AvgBoxT: 21.7 ; Time: 2023-01-18 19:42:02.565915 ; Volts: 35 ; Polarity: 1 ; Cooling: 1 ; CycleNo: 1 ; MinsDiff: 2.0 ; MinEnd: 45
