TargetT: 31 | AvgBoxT: 79.17 | Time: 2022-12-19 11:41:51.381183 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 82.1 | Time: 2022-12-19 11:41:52.420118 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 82.1 | Time: 2022-12-19 11:41:53.424691 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 78.68 | Time: 2022-12-19 11:41:54.427933 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 78.68 | Time: 2022-12-19 11:41:55.432963 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 78.78 | Time: 2022-12-19 11:41:56.437705 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 78.78 | Time: 2022-12-19 11:41:57.442474 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 80.24 | Time: 2022-12-19 11:41:58.447662 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 80.24 | Time: 2022-12-19 11:41:59.452793 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 79.76 | Time: 2022-12-19 11:42:00.457996 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 79.76 | Time: 2022-12-19 11:42:01.463055 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 82.3 | Time: 2022-12-19 11:42:02.467883 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 82.3 | Time: 2022-12-19 11:42:03.472600 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 79.86 | Time: 2022-12-19 11:42:04.476531 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 79.86 | Time: 2022-12-19 11:42:05.478997 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 64.72 | Time: 2022-12-19 11:42:06.483817 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 64.72 | Time: 2022-12-19 11:42:07.488484 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 82.3 | Time: 2022-12-19 11:42:08.492841 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 82.3 | Time: 2022-12-19 11:42:09.497883 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 80.83 | Time: 2022-12-19 11:42:10.501979 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 80.83 | Time: 2022-12-19 11:42:11.506326 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 74.0 | Time: 2022-12-19 11:42:12.509854 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 74.0 | Time: 2022-12-19 11:42:13.514139 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 79.86 | Time: 2022-12-19 11:42:14.518888 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 79.86 | Time: 2022-12-19 11:42:15.521452 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 76.44 | Time: 2022-12-19 11:42:16.525697 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 76.44 | Time: 2022-12-19 11:42:17.531143 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 80.34 | Time: 2022-12-19 11:42:18.536218 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 80.34 | Time: 2022-12-19 11:42:19.538710 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 79.37 | Time: 2022-12-19 11:42:20.541173 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 79.37 | Time: 2022-12-19 11:42:21.545550 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 78.98 | Time: 2022-12-19 11:42:22.549104 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 78.98 | Time: 2022-12-19 11:42:23.554495 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 79.57 | Time: 2022-12-19 11:42:24.559672 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 79.57 | Time: 2022-12-19 11:42:25.565500 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 75.66 | Time: 2022-12-19 11:42:26.570344 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 75.66 | Time: 2022-12-19 11:42:27.575208 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 78.59 | Time: 2022-12-19 11:42:28.579956 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 78.59 | Time: 2022-12-19 11:42:29.584548 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 81.03 | Time: 2022-12-19 11:42:30.588677 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 81.03 | Time: 2022-12-19 11:42:31.591897 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 75.66 | Time: 2022-12-19 11:42:32.595974 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 75.66 | Time: 2022-12-19 11:42:33.599700 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 82.99 | Time: 2022-12-19 11:42:34.604585 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 82.99 | Time: 2022-12-19 11:42:35.608052 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 79.18 | Time: 2022-12-19 11:42:36.612075 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 79.18 | Time: 2022-12-19 11:42:37.616745 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 80.16 | Time: 2022-12-19 11:42:38.621594 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 80.16 | Time: 2022-12-19 11:42:39.626391 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 77.71 | Time: 2022-12-19 11:42:40.631091 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 77.71 | Time: 2022-12-19 11:42:41.636159 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 76.74 | Time: 2022-12-19 11:42:42.640516 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 76.74 | Time: 2022-12-19 11:42:43.644873 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 81.13 | Time: 2022-12-19 11:42:44.649677 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 81.13 | Time: 2022-12-19 11:42:45.655219 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 81.13 | Time: 2022-12-19 11:42:46.660619 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 81.13 | Time: 2022-12-19 11:42:47.663946 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 79.18 | Time: 2022-12-19 11:42:48.668777 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 79.18 | Time: 2022-12-19 11:42:49.673541 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 106.62 | Time: 2022-12-19 11:42:50.676658 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 106.62 | Time: 2022-12-19 11:42:51.680590 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 81.72 | Time: 2022-12-19 11:42:52.685118 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 81.72 | Time: 2022-12-19 11:42:53.689752 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 79.77 | Time: 2022-12-19 11:42:54.694859 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 79.77 | Time: 2022-12-19 11:42:55.699198 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 77.33 | Time: 2022-12-19 11:42:56.704159 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 77.33 | Time: 2022-12-19 11:42:57.709023 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 81.82 | Time: 2022-12-19 11:42:58.711359 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
TargetT: 31 | AvgBoxT: 81.82 | Time: 2022-12-19 11:42:59.716141 | Volts: 180 | Polarity: 0 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 0.0
