TargetT: 31 | AvgBoxT: 29.6 | Time: 2022-12-23 17:36:22.816064 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 30.09 | Time: 2022-12-23 17:36:23.620057 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.6 | Time: 2022-12-23 17:36:24.424958 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.6 | Time: 2022-12-23 17:36:25.229527 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.6 | Time: 2022-12-23 17:36:26.034266 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.84 | Time: 2022-12-23 17:36:26.838897 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 30.09 | Time: 2022-12-23 17:36:27.640997 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.6 | Time: 2022-12-23 17:36:28.444622 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.6 | Time: 2022-12-23 17:36:29.249336 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.6 | Time: 2022-12-23 17:36:30.053966 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.6 | Time: 2022-12-23 17:36:30.857456 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 30.09 | Time: 2022-12-23 17:36:31.659726 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.6 | Time: 2022-12-23 17:36:32.461807 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.6 | Time: 2022-12-23 17:36:33.264564 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.6 | Time: 2022-12-23 17:36:34.068742 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.6 | Time: 2022-12-23 17:36:34.873290 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 30.33 | Time: 2022-12-23 17:36:35.677657 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.6 | Time: 2022-12-23 17:36:36.479580 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.84 | Time: 2022-12-23 17:36:37.282343 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.84 | Time: 2022-12-23 17:36:38.084601 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.6 | Time: 2022-12-23 17:36:38.888080 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.84 | Time: 2022-12-23 17:36:39.690138 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 30.09 | Time: 2022-12-23 17:36:40.492425 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.6 | Time: 2022-12-23 17:36:41.297151 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.6 | Time: 2022-12-23 17:36:42.099924 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 0.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 30.09 | Time: 2022-12-23 17:37:02.261293 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.6 | Time: 2022-12-23 17:37:03.064926 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
TargetT: 31 | AvgBoxT: 29.84 | Time: 2022-12-23 17:37:03.868993 | Volts: 180 | Polarity: 1 | CycleNo: 1 | MinsDiff: 1.0 | MinEnd: 45 | PEl fan tmp: 30.192057291666668
